020000008,4901,"$$aCambridge Latin American studies, no. 8$$5FSsNC$$5FTaFA$$5FPeU",,
020000008,4901,"$$aCambridge Latin American studies,$$vno. 8$$5FOFT",,
020000008,440 0,"$$aCambridge Latin American studies,$$v8$$5FMFIU$$5FU",,
020000008,440 0,"$$aCambridge Latin American studies,$$vno. 8$$5FBoU$$5FTaSU",,
020000018,4900,$$aReprints of economic classics$$5FJUNF$$5FPeU,,
020000018,4900,$$aLibrary of early American business & industry ;$$v3$$5FJUNF,,
020000018,440 0,$$aReprints of economic classics$$5FTS,,
020000018,440 0,"$$aLibrary of early American business & industry,$$v3$$5FTS",,
020000018,4900,"$$aLibrary of early American business & industry, 3$$5FPeU",,
020000022,4900,$$aReprints of economic classics$$5FJUNF$$5FTaFA$$5FPeU,,
020000022,4900,$$aThe Adam Smith library$$5FJUNF$$5FTaFA$$5FPeU$$5FU,,
020000022,440 4,$$aThe Adam Smith library$$5FMFIU,,
020000022,440 0,$$aReprints of economic classics$$5FMFIU$$5FU,,
020000029,4900,$$aLibrary of money and banking history$$5FTaFA$$5FPeU,,
020000029,4900,$$aReprints of economic classics.$$5FTaFA$$5FPeU,,
020000029,440 0,$$aLibrary of money and banking history$$5FTS,,
020000029,440 0,$$aReprints of economic classics$$5FTS,,
020000048,4901,$$aGarland reference library of social science ;$$vvol. 678.$$aSource books on education ;$$vvol. 27$$5FU$$5FTS,,
020000048,4900,$$aGarland reference library of social science ;$$vvol. 678. Source books on education ;$$vvol. 27$$5FBoU,,
020000078,4900,"$$aHis Auxiliary materials for the study of Semitic languages,$$vno. 7$$5FTaSU$$5FU",,
020000078,4900,"$$aAuxiliary materials for the study of Semitic languages,$$vno. 7$$5FBoU",,
020000093,4901,"$$aBollingen series, 35:10$$5FOFT",,
020000093,4901,"$$aBollingen series, 35. The A. W. Mellon lectures in the fine arts, 10$$5FSsNC$$5FMFIU$$5FJUNF$$5FPeU$$5FBoU$$5FTaFA$$5FTS$$5FU",,
020000093,4901,"$$aBollingen series, 35:10. The A. W. Mellon lectures in the fine arts$$5FTaSU",,
020000093,4901,"$$aBollingen series, 35. The A. W. Mellon lectures in the fine arts,$$v10$$5FFmFGC",,
020000109,4901,"$$aAgriculture Policy Institute series, 18$$5FU",,
020000109,4901,"$$aAPI series, 18$$5FTaFA",,
020000135,440 0,$$aLibrary of money and banking history$$5FTS$$5FOFT$$5FTaSU,,
020000135,4900,$$aLibrary of money and banking history.$$5FMFIU$$5FPeU,,
020000135,4900,$$aReprints of economic classics$$5FMFIU$$5FPeU,,
020000135,440 0,$$aReprints of economic classics$$5FTS$$5FOFT$$5FTaSU,,
